ARC,GDOT
975,47
976,47
977,47
978,47
979,47
980,47
981,47
982,47
983,47
984,47
985,47
986,47
987,47
988,47
989,47
990,47
991,40
992,40
993,40
994,40
995,40
996,40
997,40
998,40
999,47
1000,47
1001,47
1002,46
1003,46
1004,46
1005,46
1006,46
1007,46
1008,46
1009,46
1010,46
1011,46
1012,46
1013,45
1014,45
1015,45
1016,46
1017,46
1018,46
1019,46
1020,46
1021,46
1022,46
1023,46
1024,46
1025,46
1026,46
1027,46
1028,46
1029,46
1030,46
1031,44
1032,44
1033,44
1034,44
1035,44
1036,44
1037,44
1038,44
1039,44
1040,44
1041,44
1042,44
1043,44
1044,44
1045,44
1046,43
1047,43
1048,43
1049,43
1050,43
1051,43
1052,43
1053,43
1054,43
1055,51
1056,51
1057,51
1058,51
1059,51
1060,51
1061,48
1062,48
1063,48
1064,48
1065,48
1066,48
1067,48
1068,48
1069,48
1070,48
1071,48
1072,48
1073,48
1074,48
1075,48
1076,48
1077,48
1078,48
1079,48
1080,48
1081,48
1082,48
1083,52
1084,52
1085,52
1086,52
1087,52
1088,52
1089,42
1090,42
1091,42
1092,51
1093,51
1094,51
1095,51
1096,51
1097,43
1098,43
1099,43
1100,43
1101,43
1102,43
1103,43
1104,43
1105,43
1106,43
1107,43
1108,43
1109,43
1110,43
1111,43
1112,43
1113,43
1114,43
1115,43
1116,43
1117,43
1118,43
1119,43
1120,43
1121,43
1122,43
1123,43
1124,51
1125,52
1126,52
1127,52
1128,52
1129,52
1130,52
1131,52
1132,52
1133,52
1134,52
1135,52
1136,52
1137,55
1138,55
1139,55
1140,55
1141,55
1142,55
1143,55
1144,55
1145,55
1146,55
1147,56
1148,56
1149,56
1150,55
1151,55
1152,55
1153,55
1154,56
1155,56
1156,56
1157,56
1158,56
1159,49
1160,49
1161,49
1162,49
1163,49
1164,49
1165,49
1166,49
1167,49
1168,51
1169,51
1170,51
1171,51
1172,51
1173,51
1174,51
1175,45
1176,45
1177,45
1178,42
1179,42
1180,42
1181,44
1182,44
1183,42
1184,42
1185,42
1186,45
1187,45
1188,45
1189,45
1190,45
1191,45
1192,42
1193,42
1194,42
1195,42
1196,45
1197,45
1198,51
1199,51
1200,51
1201,51
1202,51
1203,49
1204,49
1205,171
1206,171
1207,171
1208,171
1209,171
1210,171
1211,169
1212,169
1213,169
1214,169
1215,169
1216,169
1217,169
1218,169
1219,169
1220,169
1221,168
1222,168
1223,168
1224,168
1225,168
1226,168
1227,168
1228,170
1229,170
1230,171
1231,171
1232,171
1233,171
1234,171
1235,171
1236,169
1237,169
1238,170
1239,170
1240,170
1241,170
1242,170
1243,170
1244,170
1245,170
1246,174
1247,174
1248,174
1249,174
1250,174
1251,174
1252,174
1253,172
1254,172
1255,172
1256,172
1257,173
1258,173
1259,173
1260,173
1261,173
1262,173
1263,173
1264,173
1265,174
1266,174
1267,174
1268,174
1269,175
1270,175
1271,175
1272,175
1273,175
1274,175
1275,176
1276,176
1277,176
1278,176
1279,176
1280,177
1281,177
1282,177
1283,177
1284,177
1285,173
1286,173
1287,173
1288,173
1289,173
1290,173
1291,173
1292,173
1293,173
1294,173
1295,178
1296,178
1297,178
1298,178
1299,178
1300,178
1301,178
1302,178
1303,172
1304,172
1305,172
1306,172
1307,172
1308,179
1309,179
1310,179
1311,182
1312,182
1313,182
1314,180
1315,180
1316,181
1317,181
1318,183
1319,183
1320,183
1321,183
1322,199
1323,199
1324,195
1325,195
1326,195
1327,198
1328,198
1329,198
1330,198
1331,198
1332,198
1333,198
1334,198
1335,192
1336,192
1337,192
1338,193
1339,193
1340,193
1341,198
1342,198
1343,198
1344,198
1345,198
1346,198
1347,198
1348,198
1349,198
1350,198
1351,193
1352,193
1353,198
1354,192
1355,192
1356,192
1357,195
1358,195
1359,195
1360,195
1361,195
1362,194
1363,194
1364,194
1365,194
1366,194
1367,196
1368,196
1369,194
1370,197
1371,197
1372,197
1373,197
1374,193
1375,193
1376,198
1377,198
1378,193
1379,193
1380,194
1381,194
1382,196
1383,196
1384,204
1385,204
1386,204
1387,204
1388,204
1389,204
1390,204
1391,204
1392,204
1393,204
1394,205
1395,205
1396,205
1397,206
1398,206
1399,206
1400,206
1401,206
1402,206
1403,202
1404,202
1405,202
1406,202
1407,203
1408,203
1409,203
1410,203
1411,203
1412,203
1413,203
1414,203
1415,203
