TAZ,pop,hh,emp
2139,8474,3916,2432
2140,2381,1050,683
2141,7276,2423,2088
2142,2013,821,578
2143,5534,2362,2252
2144,9361,3335,3809
2145,6914,2794,2814
2146,12492,7919,6638
2147,16319,9978,8671
2148,15175,5899,8063
2149,31480,17789,16727
2150,9224,5564,4901
2151,4834,2614,2569
2152,10948,6047,5817
2153,5686,546,3021
2154,9874,5515,5247
2155,1267,945,673
2156,16732,10040,8890
2157,5635,3598,2994
2158,2377,1743,1263
2159,11213,4969,3891
2160,10029,5266,3480
2161,12330,6666,4279
2162,7707,3518,2674
2163,8851,3898,3071
2164,9572,4309,3322
2165,7005,3079,2431
2166,20221,8541,13715
2167,10817,4392,7337
2168,7991,3586,5420
2169,29267,12645,19851
2170,72990,32002,49507
2171,35566,14524,24123
2172,77623,35214,52649
2173,29744,12127,20174
2174,81918,37868,55562
2175,33979,14349,23047
2176,30393,16235,20615
2177,90434,45562,61338
2178,32961,13031,22356
2179,50576,21321,34304
2180,76498,33631,51886
2181,104959,51713,71190
2182,15593,7681,10576
2183,3824,1613,2594
2184,5235,2232,3551
2185,3332,1506,2260
2186,3661,1317,2483
2187,8168,3465,5540
2188,5299,2236,3594
2189,878,251,596
2190,6036,2520,4094
2191,5451,2102,1455
2192,7651,2554,2043
2193,7271,2090,1941
2194,4830,1812,1290
2195,9080,3649,3067
2196,10387,3930,3509
2197,8094,2362,2734
2198,6412,2731,2166
2199,12408,4707,4192
2200,5859,2390,1979
2201,14768,5761,4989
2202,8074,2449,1963
2203,4292,1849,1044
2204,1848,872,449
2205,6627,2708,2251
2206,4057,1629,1378
2207,7734,3424,2627
2208,6902,2798,2344
2209,7857,3274,2669
2210,6317,2724,2146
2211,2397,439,532
2212,5648,2364,1254
2213,3241,1567,977
2214,3692,1662,1113
2215,2414,1164,728
2216,6572,2241,1981
2217,3290,1533,992
2218,4817,2561,1784
2219,3337,1750,1236
2220,6189,3161,2293
2221,5499,2543,2037
2222,10112,3798,2912
2223,4565,1907,1314
2224,6859,3266,1634
2225,7290,3096,1737
2226,5495,2119,1309
2227,9898,4171,2358
2228,22316,10599,12057
2229,29708,17697,16051
2230,11165,4974,6032
2231,32700,14177,17667
2232,14484,6734,7826
2233,65529,34163,35404
2234,13996,6699,7562
2235,10350,4258,5592
2236,7414,2983,4006
2237,9898,4289,5348
